product_id,code,name,cached_stock,actual_stock,difference,status,issue
62,3282770139204,AVN CLEANANCE GEL 200 ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
63,3337875890069,LRP LRP MELA B3 GEL MICROPEELING 200ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
64,3337875694469,LRP LRP RETINOL B3 SERUM 30ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
65,3337872413025,LRP LRP EFFACLAR MAT T40ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
66,3337875816847,LRP CICAPLAST BALM B5 T100ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
67,3337875863377,LRP EFFACLAR DUO+ CR T40ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
68,3433422404533,LRP LIPIKAR PAIN SURGRAS 150 GM,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
69,3337875613491,LRP EFFACLAR K+ T30ML FREN,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
70,3433422408357,LRP EFFACLAR EAU MICEL FL200ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
71,3433422408159,LRP EFFACLAR LT ASTRING F200ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
72,3337875549486,LRP EFFACLAR GEL MOUSS T300ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
73,3337875545822,LRP TOLERIANE GEL MOUSSANT 400ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
74,3337875722827,LRP EFFACLAR SERUM ULTRA CONCEN 30ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
75,3337875537315,LRP LIPIKAR SYNDET AP+ FL400ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
76,3433422404403,LRP EAU THERMALE  300ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
